Date,Open,High,Low,Close,Volume
16-Jun-15,5.39,5.43,5.36,5.41,222942
15-Jun-15,5.18,5.30,5.18,5.28,437898
12-Jun-15,5.23,5.26,5.19,5.19,316952
11-Jun-15,5.27,5.32,5.25,5.29,223179
10-Jun-15,5.41,5.42,5.30,5.32,625696
9-Jun-15,5.18,5.24,5.17,5.21,488944
8-Jun-15,5.05,5.10,5.02,5.05,1494768
5-Jun-15,4.90,5.02,4.88,4.98,3098940
4-Jun-15,5.08,5.09,4.90,4.90,725670
3-Jun-15,5.15,5.23,5.14,5.19,478843
2-Jun-15,5.18,5.35,5.17,5.31,659873
1-Jun-15,5.28,5.28,5.17,5.18,528701
29-May-15,5.45,5.46,5.33,5.36,1317764
28-May-15,5.56,5.58,5.51,5.58,1061671
27-May-15,5.58,5.71,5.58,5.66,340941
26-May-15,5.75,5.76,5.68,5.70,614272
22-May-15,5.91,5.95,5.87,5.91,250986
21-May-15,5.80,5.92,5.76,5.89,855698
20-May-15,5.82,5.90,5.82,5.88,468884
19-May-15,6.01,6.06,6.00,6.02,650604
18-May-15,6.22,6.23,6.15,6.17,400466
15-May-15,6.09,6.17,6.04,6.17,568957
14-May-15,6.09,6.15,6.07,6.14,739795
13-May-15,6.24,6.25,6.14,6.14,537453
12-May-15,6.00,6.13,5.98,6.13,666947
11-May-15,6.06,6.10,6.02,6.04,295333
8-May-15,6.03,6.11,6.03,6.10,417604
7-May-15,6.04,6.10,5.96,6.03,767915
6-May-15,6.20,6.23,6.04,6.08,1660990
5-May-15,6.22,6.23,6.10,6.10,611850
4-May-15,5.92,5.95,5.91,5.92,279438
1-May-15,5.95,5.98,5.88,5.94,255949
30-Apr-15,5.86,5.96,5.84,5.88,771247
29-Apr-15,5.92,6.00,5.88,5.95,596590
28-Apr-15,5.82,5.98,5.81,5.92,587550
27-Apr-15,5.96,5.97,5.80,5.81,982936
24-Apr-15,5.97,6.00,5.92,5.97,826326
23-Apr-15,5.76,5.91,5.75,5.89,529367
22-Apr-15,5.73,5.76,5.65,5.76,1052399
21-Apr-15,5.74,5.81,5.74,5.78,362823
20-Apr-15,5.74,5.83,5.71,5.73,608973
17-Apr-15,5.84,5.86,5.58,5.75,1968981
16-Apr-15,5.98,6.13,5.97,6.08,1380576
15-Apr-15,5.87,6.03,5.85,6.03,1349401
14-Apr-15,5.54,5.65,5.51,5.63,720692
13-Apr-15,5.64,5.65,5.57,5.59,676558
10-Apr-15,5.60,5.68,5.50,5.53,874857
9-Apr-15,5.63,5.67,5.57,5.64,2328231
8-Apr-15,5.42,5.43,5.34,5.39,1470940
7-Apr-15,5.34,5.35,5.21,5.26,739542
6-Apr-15,5.14,5.27,5.12,5.25,962810
2-Apr-15,5.04,5.09,5.01,5.09,759068
1-Apr-15,4.88,4.95,4.76,4.93,983217
31-Mar-15,4.75,4.76,4.70,4.72,629843
30-Mar-15,4.70,4.75,4.70,4.72,539319
27-Mar-15,4.64,4.67,4.55,4.55,732295
26-Mar-15,4.66,4.66,4.58,4.58,697025
25-Mar-15,4.70,4.74,4.61,4.69,567275
24-Mar-15,4.66,4.72,4.64,4.71,1310087
23-Mar-15,4.55,4.58,4.50,4.57,457395
20-Mar-15,4.56,4.64,4.50,4.59,423060
19-Mar-15,4.58,4.61,4.48,4.52,723968
18-Mar-15,4.54,4.73,4.51,4.67,4036706
17-Mar-15,4.50,4.56,4.47,4.52,834836
16-Mar-15,4.53,4.54,4.46,4.53,480459
13-Mar-15,4.68,4.71,4.55,4.58,1087348
12-Mar-15,4.82,4.83,4.70,4.74,587809
11-Mar-15,4.77,4.82,4.69,4.78,237070
10-Mar-15,4.82,4.84,4.72,4.75,946979
9-Mar-15,4.97,5.10,4.91,4.91,803444
6-Mar-15,5.10,5.13,5.00,5.03,813661
5-Mar-15,5.16,5.17,5.08,5.13,436502
4-Mar-15,5.07,5.10,4.94,5.02,1395710
3-Mar-15,5.16,5.17,5.12,5.15,320823
2-Mar-15,5.03,5.06,4.99,5.00,899436
27-Feb-15,4.90,5.02,4.88,5.00,606076
26-Feb-15,5.02,5.06,4.86,4.90,770833
25-Feb-15,4.86,4.99,4.85,4.97,274312
24-Feb-15,4.94,4.98,4.90,4.97,339832
23-Feb-15,4.95,4.99,4.87,4.89,766219
20-Feb-15,5.13,5.19,5.07,5.15,488665
19-Feb-15,5.10,5.30,5.07,5.27,508118
18-Feb-15,5.44,5.46,5.33,5.36,1606015
17-Feb-15,5.22,5.23,5.07,5.18,763606
13-Feb-15,5.14,5.18,5.11,5.14,1158017
12-Feb-15,4.77,4.95,4.77,4.94,1396499
11-Feb-15,4.61,4.72,4.56,4.69,849025
10-Feb-15,4.57,4.63,4.45,4.63,384265
9-Feb-15,4.56,4.60,4.54,4.54,687023
6-Feb-15,4.54,4.56,4.45,4.53,1428421
5-Feb-15,4.39,4.48,4.38,4.46,776562
4-Feb-15,4.28,4.33,4.18,4.24,1451033
3-Feb-15,4.23,4.37,4.20,4.36,1523082
2-Feb-15,4.05,4.09,4.02,4.09,1360035
30-Jan-15,4.09,4.24,4.05,4.20,2315079
29-Jan-15,4.38,4.38,4.24,4.32,855444
28-Jan-15,4.46,4.47,4.41,4.41,1108061
27-Jan-15,4.52,4.61,4.47,4.56,697313
26-Jan-15,4.56,4.60,4.35,4.42,2100202
23-Jan-15,4.78,4.86,4.76,4.82,1340542
22-Jan-15,4.73,4.81,4.71,4.79,775716
21-Jan-15,4.60,4.64,4.57,4.60,670512
20-Jan-15,4.61,4.63,4.50,4.52,1355094
16-Jan-15,4.62,4.70,4.61,4.67,1046633
15-Jan-15,4.66,4.68,4.50,4.51,1404946
14-Jan-15,4.50,4.70,4.47,4.67,1798301
13-Jan-15,4.39,4.50,4.38,4.50,2026734
12-Jan-15,4.54,4.64,4.45,4.56,1193458
9-Jan-15,4.64,4.75,4.60,4.71,1015272
8-Jan-15,4.90,5.00,4.85,4.89,797949
7-Jan-15,4.55,4.68,4.53,4.65,538606
6-Jan-15,4.42,4.54,4.35,4.41,731285
5-Jan-15,4.51,4.55,4.44,4.45,1736551
2-Jan-15,4.62,4.65,4.46,4.56,693734
31-Dec-14,4.64,4.65,4.50,4.53,1316428
30-Dec-14,4.69,4.79,4.60,4.78,1749034
29-Dec-14,4.74,4.77,4.54,4.59,1710290
26-Dec-14,5.09,5.10,4.95,4.97,812859
